STAID, SOUID,    DATE,   TX, Q_TX
 21787,218275,20201001,  165,    0
 21787,218275,20201002,  150,    0
 21787,218275,20201003,  145,    0
 21787,218275,20201004,  150,    0
 21787,218275,20201005,  154,    0
 21787,218275,20201006,  167,    0
 21787,218275,20201007,  157,    0
 21787,218275,20201008,  170,    0
 21787,218275,20201009,  160,    0
 21787,218275,20201010,  131,    0
 21787,218275,20201011,  150,    0
 21787,218275,20201012,  153,    0
 21787,218275,20201013,  116,    0
 21787,218275,20201014,  126,    0
 21787,218275,20201015,  130,    0
 21787,218275,20201016,  128,    0
 21787,218275,20201017,  120,    0
 21787,218275,20201018,  142,    0
 21787,218275,20201019,  148,    0
 21787,218275,20201020,  154,    0
 21787,218275,20201021,  205,    0
 21787,218275,20201022,  176,    0
 21787,218275,20201023,  175,    0
 21787,218275,20201024,  162,    0
 21787,218275,20201025,-9999,    9
 21787,218275,20201026,  132,    0
 21787,218275,20201027,  124,    0
 21787,218275,20201028,  127,    0
 21787,218275,20201029,  138,    0
 21787,218275,20201030,  164,    0
 21787,218275,20201031,  158,    0
 21787,218275,20201101,  186,    0
 21787,218275,20201102,  185,    0
 21787,218275,20201103,  119,    0
 21787,218275,20201104,  134,    0
 21787,218275,20201105,  134,    0
 21787,218275,20201106,  133,    0
 21787,218275,20201107,  147,    0
 21787,218275,20201108,  180,    0
 21787,218275,20201109,  173,    0
 21787,218275,20201110,  138,    0
 21787,218275,20201111,  135,    0
 21787,218275,20201112,  138,    0
 21787,218275,20201113,  132,    0
 21787,218275,20201114,  149,    0
 21787,218275,20201115,  153,    0
 21787,218275,20201116,  121,    0
 21787,218275,20201117,  127,    0
 21787,218275,20201118,  162,    0
 21787,218275,20201119,  112,    0
 21787,218275,20201120,   87,    0
 21787,218275,20201121,  110,    0
 21787,218275,20201122,  111,    0
 21787,218275,20201123,  106,    0
 21787,218275,20201124,  112,    0
 21787,218275,20201125,   96,    0
 21787,218275,20201126,   97,    0
 21787,218275,20201127,   95,    0
 21787,218275,20201128,  102,    0
 21787,218275,20201129,   38,    0
 21787,218275,20201130,   94,    0
 21787,218275,20201201,  105,    0
 21787,218275,20201202,   76,    0
 21787,218275,20201203,   68,    0
 21787,218275,20201204,   80,    0
 21787,218275,20201205,   58,    0
 21787,218275,20201206,   45,    0
 21787,218275,20201207,   35,    0
 21787,218275,20201208,   64,    0
 21787,218275,20201209,   41,    0
 21787,218275,20201210,   63,    0
 21787,218275,20201211,   80,    0
 21787,218275,20201212,   98,    0
 21787,218275,20201213,   83,    0
 21787,218275,20201214,  118,    0
 21787,218275,20201215,  118,    0
 21787,218275,20201216,  104,    0
 21787,218275,20201217,  105,    0
 21787,218275,20201218,  114,    0
 21787,218275,20201219,  109,    0
 21787,218275,20201220,  103,    0
 21787,218275,20201221,  135,    0
 21787,218275,20201222,  139,    0
 21787,218275,20201223,  133,    0
 21787,218275,20201224,   91,    0
 21787,218275,20201225,   70,    0
 21787,218275,20201226,   66,    0
 21787,218275,20201227,   74,    0
 21787,218275,20201228,   55,    0
 21787,218275,20201229,   56,    0
 21787,218275,20201230,   62,    0
 21787,218275,20201231,   59,    0
 21787,218275,20210101,   60,    0
 21787,218275,20210102,   74,    0
 21787,218275,20210103,   44,    0
 21787,218275,20210104,   36,    0
 21787,218275,20210105,   35,    0
 21787,218275,20210106,   38,    0
 21787,218275,20210107,   50,    0
 21787,218275,20210108,   55,    0
 21787,218275,20210109,   68,    0
 21787,218275,20210110,   49,    0
 21787,218275,20210111,   75,    0
 21787,218275,20210112,   91,    0
 21787,218275,20210113,   51,    0
 21787,218275,20210114,   42,    0
 21787,218275,20210115,   27,    0
 21787,218275,20210116,   11,    0
 21787,218275,20210117,   69,    0
 21787,218275,20210118,   67,    0
 21787,218275,20210119,  104,    0
 21787,218275,20210120,  111,    0
 21787,218275,20210121,  114,    0
 21787,218275,20210122,   70,    0
 21787,218275,20210123,   48,    0
 21787,218275,20210124,   30,    0
 21787,218275,20210125,   65,    0
 21787,218275,20210126,   65,    0
 21787,218275,20210127,   74,    0
 21787,218275,20210128,  119,    0
 21787,218275,20210129,  111,    0
 21787,218275,20210130,   83,    0
 21787,218275,20210131,   26,    0
 21787,218275,20210201,-9999,    9
 21787,218275,20210202,   44,    0
 21787,218275,20210203,  116,    0
 21787,218275,20210204,  106,    0
 21787,218275,20210205,  100,    0
 21787,218275,20210206,  110,    0
 21787,218275,20210207,   85,    0
 21787,218275,20210208,   -2,    0
 21787,218275,20210209,  -36,    0
 21787,218275,20210210,  -16,    0
 21787,218275,20210211,   -5,    0
 21787,218275,20210212,    4,    0
 21787,218275,20210213,  -14,    0
 21787,218275,20210214,    6,    0
 21787,218275,20210215,   43,    0
 21787,218275,20210216,   56,    0
 21787,218275,20210217,  108,    0
 21787,218275,20210218,  127,    0
 21787,218275,20210219,  126,    0
 21787,218275,20210220,  107,    0
 21787,218275,20210221,  165,    0
 21787,218275,20210222,  174,    0
 21787,218275,20210223,  159,    0
 21787,218275,20210224,  168,    0
 21787,218275,20210225,  185,    0
 21787,218275,20210226,  156,    0
 21787,218275,20210227,  105,    0
 21787,218275,20210228,   55,    0
 21787,218275,20210301,   97,    0
 21787,218275,20210302,  157,    0
 21787,218275,20210303,  125,    0
 21787,218275,20210304,   54,    0
 21787,218275,20210305,   68,    0
 21787,218275,20210306,   74,    0
 21787,218275,20210307,   74,    0
 21787,218275,20210308,   97,    0
 21787,218275,20210309,   77,    0
 21787,218275,20210310,   99,    0
 21787,218275,20210311,  124,    0
 21787,218275,20210312,   94,    0
 21787,218275,20210313,  101,    0
 21787,218275,20210314,  101,    0
 21787,218275,20210315,   88,    0
 21787,218275,20210316,   70,    0
 21787,218275,20210317,   77,    0
 21787,218275,20210318,   81,    0
 21787,218275,20210319,   94,    0
 21787,218275,20210320,   96,    0
 21787,218275,20210321,   87,    0
 21787,218275,20210322,   98,    0
 21787,218275,20210323,  115,    0
 21787,218275,20210324,  158,    0
 21787,218275,20210325,  141,    0
 21787,218275,20210326,  139,    0
 21787,218275,20210327,  108,    0
 21787,218275,20210328,-9999,    9
 21787,218275,20210329,  200,    0
 21787,218275,20210330,  237,    0
 21787,218275,20210331,  249,    0
 21787,218275,20210401,  162,    0
 21787,218275,20210402,   90,    0
 21787,218275,20210403,  108,    0
 21787,218275,20210404,   93,    0
 21787,218275,20210405,   82,    0
 21787,218275,20210406,   49,    0
 21787,218275,20210407,   74,    0
 21787,218275,20210408,  109,    0
 21787,218275,20210409,  131,    0
 21787,218275,20210410,   78,    0
 21787,218275,20210411,   85,    0
 21787,218275,20210412,   84,    0
 21787,218275,20210413,  113,    0
 21787,218275,20210414,  102,    0
 21787,218275,20210415,  107,    0
 21787,218275,20210416,  118,    0
 21787,218275,20210417,  120,    0
 21787,218275,20210418,  124,    0
 21787,218275,20210419,  146,    0
 21787,218275,20210420,  167,    0
 21787,218275,20210421,  144,    0
 21787,218275,20210422,  126,    0
 21787,218275,20210423,  150,    0
 21787,218275,20210424,  145,    0
 21787,218275,20210425,  119,    0
 21787,218275,20210426,  139,    0
 21787,218275,20210427,  175,    0
 21787,218275,20210428,  176,    0
 21787,218275,20210429,  108,    0
 21787,218275,20210430,  113,    0
 21787,218275,20210501,  122,    0
 21787,218275,20210502,  117,    0
 21787,218275,20210503,  148,    0
 21787,218275,20210504,  132,    0
 21787,218275,20210505,  119,    0
 21787,218275,20210506,  113,    0
 21787,218275,20210507,  138,    0
 21787,218275,20210508,  183,    0
 21787,218275,20210509,  251,    0
 21787,218275,20210510,  197,    0
 21787,218275,20210511,  198,    0
 21787,218275,20210512,  161,    0
 21787,218275,20210513,  176,    0
 21787,218275,20210514,  162,    0
 21787,218275,20210515,  138,    0
 21787,218275,20210516,  143,    0
 21787,218275,20210517,  145,    0
 21787,218275,20210518,  176,    0
 21787,218275,20210519,  157,    0
 21787,218275,20210520,  156,    0
 21787,218275,20210521,  162,    0
 21787,218275,20210522,  135,    0
 21787,218275,20210523,  160,    0
 21787,218275,20210524,  164,    0
 21787,218275,20210525,  144,    0
 21787,218275,20210526,  146,    0
 21787,218275,20210527,  149,    0
 21787,218275,20210528,  200,    0
 21787,218275,20210529,  207,    0
 21787,218275,20210530,  222,    0
 21787,218275,20210531,  247,    0
